char_id,superpoder_id
Q3613591,Q11032077
Q3613591,Q30172593
Q4790382,
Q2299363,
Q2663986,Q51879220
Q2663986,Q23012785
Q2663986,Q47089006
Q2663986,Q3381588
Q2663986,Q47090903
Q647105,Q52412496
Q2278480,
Q15730848,
Q302186,Q4386945
Q302186,Q47090903
Q302186,Q47102058
Q302186,Q23012785
Q302186,Q47089006
Q973050,Q186446
Q973050,Q520667
Q973050,Q170612
Q2296652,Q54805989
Q2296652,Q4386945
Q2296652,Q47089006
Q3640951,
Q3545392,
Q2624390,Q11032077
Q2267017,Q186446
Q2267017,Q170612
Q2267017,Q47148949
Q2624756,
Q1194236,Q52712010
Q2064366,Q1341441
Q1961349,
Q1051158,
Q3677413,Q47148394
Q2419540,
Q60002,Q4386945
Q60002,Q47089006
Q60002,Q54826084
Q857921,Q51996832
Q2452573,
Q2658347,Q1152040
Q2658347,Q4386945
Q2658347,Q47090903
Q2658347,Q51908485
Q2658347,Q47102058
Q929620,
Q767790,Q170612
Q2723286,Q4386945
Q2723286,Q47089006
Q2723286,Q23012785
Q2723286,Q47090903
Q2723286,Q47102058
Q2723286,Q1152040
Q2204855,
Q2584217,Q3381588
Q1631090,Q1152040
Q2526966,
Q512578,
Q59644,Q23012720
Q1995969,Q170612
Q1995969,Q47089006
Q1995969,Q54826084
Q1995969,Q4386945
Q2539413,
Q578279,Q51879220
Q578279,Q2069787
Q5457942,
Q1002884,
Q2639150,
Q3760162,
Q3115862,
Q849486,Q51995834
Q1602892,Q186446
Q372151,
Q2398372,Q47088639
Q2714915,
Q838088,Q2649737
Q3150540,
Q1648739,
Q2456058,Q51984269
Q5350072,Q186446
Q5350072,Q170612
Q2595339,Q1152040
Q2595339,Q47102058
Q1408551,
Q1771401,Q29424976
Q59665,Q51995834
Q841372,Q4386945
Q841372,Q47089006
Q841372,Q6005390
Q2354713,Q47148949
Q2568022,Q170612
Q6379297,
Q2734801,Q30172593
Q2734801,Q170612
Q2734801,Q186446
Q547306,Q47148394
Q106411468,
Q2028652,
Q1607791,Q186446
Q1607791,Q2069787
Q1607791,Q170612
Q1607791,Q2966834
Q1607791,Q30172593
Q1607791,Q21451555
Q1174625,
Q3257589,Q47148394
Q2196544,Q51879220
Q1050089,Q23012720
Q1050089,Q23012785
Q1050089,Q47089006
Q1050089,Q47090903
Q1050089,Q1152040
Q1050089,Q2275288
Q1050089,Q170612
Q2550226,Q4386945
Q2550226,Q23012785
Q2550226,Q170612
Q2550226,Q51879220
Q2550226,Q1152040
Q3276124,Q47148949
Q3276805,
Q2651308,Q11032077
Q2651308,Q1064192
Q2660736,Q2069787
Q2660736,Q3123465
Q840291,Q29424976
Q840291,Q95594075
Q2755191,
Q2068769,
Q3298246,
Q2003105,
Q2396146,Q47088639
Q2723601,Q47088639
Q2361279,
Q6880137,
Q737236,Q30172593
Q613067,
Q2602677,Q170612
Q2602677,Q186446
Q2602677,Q21451555
Q2602677,Q818844
Q2602677,Q520667
Q2602677,Q2275288
Q5342183,Q11032077
Q5342183,Q47090903
Q251321,
Q1649084,
Q7095205,
Q10342795,Q1908787
Q8347897,Q6005390
Q8347897,Q170612
Q8347897,Q186446
Q8347897,Q51879220
Q8347897,Q2069787
Q8347897,Q2966834
Q8347897,Q11032077
Q8347897,Q21451555
Q8347897,Q54805989
Q2560424,Q51879220
Q2560424,Q11032077
Q2071256,Q29424976
Q7243032,
Q2550629,
Q838076,Q29433518
Q838076,Q170612
Q3410524,
Q2339776,Q2069787
Q258015,Q170612
Q258015,Q186446
Q517361,
Q838097,Q47088639
Q838097,Q4386945
Q838097,Q47089006
Q838097,Q51879220
Q838097,Q23012785
Q838097,Q83788671
Q838097,Q47090903
Q838097,Q6005390
Q431862,Q4386945
Q431862,Q1152040
Q431862,Q47089006
Q431862,Q47102058
Q431862,Q51908485
Q431862,Q86357082
Q2258275,Q170612
Q2915564,Q4386945
Q2915564,Q23012785
Q2915564,Q47089006
Q2915564,Q51879220
Q7490065,
Q2366159,Q52412496
Q3486722,
Q959613,
Q4353353,Q4386945
Q4353353,Q47090903
Q2265169,
Q898593,
Q632212,Q29432877
Q2569703,Q52147394
Q977088,Q51879220
Q967429,
Q601199,Q51879220
Q601199,Q1908787
Q601199,Q4386945
Q601199,Q3381588
Q106901100,
Q1455120,
Q3508157,
Q748726,
Q7698867,
Q546340,Q4386945
Q546340,Q23012785
Q546340,Q47089006
Q3874075,
Q7815410,
Q9303509,
Q1168830,Q11032077
Q7919268,
Q2568977,Q29424976
Q2568977,Q1879366
Q2568977,Q51879220
Q2568977,Q1341441
Q2568977,Q1152040
Q2568977,Q47088639
Q3108790,Q30172593
Q3108790,Q1152040
Q920406,Q4386945
Q920406,Q23012785
Q920406,Q51879220
Q770064,Q51879220
Q770064,Q1152040
Q4020650,
Q996154,Q1878695
Q996154,Q1152040
Q996154,Q47102058
Q996154,Q4386945
Q996154,Q23012785
Q186422,Q1152040
Q186422,Q47102058
Q186422,Q47090903
Q186422,Q4386945
Q186422,Q51908485
Q104840678,
Q1872439,Q1152040
Q1872439,Q47102058
Q1872439,Q47090903
Q2892497,
Q2297125,
Q19882064,
