char_id,universe_id
Q3613591,Q2603976
Q3613591,Q128452
Q4790382,
Q2299363,Q128452
Q2663986,Q128452
Q2663986,Q281762
Q2663986,Q514974
Q2663986,Q2053320
Q647105,Q128452
Q647105,Q11001793
Q647105,Q1922133
Q647105,Q3740170
Q647105,Q328473
Q647105,Q8475
Q2278480,Q128452
Q2278480,Q2731643
Q2278480,Q1074284
Q2278480,Q514974
Q15730848,
Q302186,Q128452
Q302186,Q322646
Q302186,Q7387321
Q302186,Q2211423
Q302186,Q8041529
Q302186,Q609250
Q973050,Q128452
Q973050,Q938034
Q973050,Q514974
Q973050,Q1074284
Q973050,Q2603976
Q973050,Q5036576
Q973050,Q7387302
Q973050,Q2550236
Q973050,Q111832939
Q2296652,Q128452
Q2296652,Q8041531
Q2296652,Q328473
Q3640951,Q128452
Q3640951,Q4023064
Q3545392,
Q2624390,Q128452
Q2624390,Q2109149
Q2624390,Q1047918
Q2624390,Q1074284
Q2267017,Q128452
Q2267017,Q938034
Q2267017,Q1047918
Q2267017,Q2594763
Q2267017,Q3485603
Q2267017,Q5125501
Q2267017,Q4807121
Q2624756,Q1047918
Q2624756,Q938034
Q2624756,Q927511
Q2624756,Q2690825
Q2624756,Q2211423
Q1194236,Q128452
Q1194236,Q322646
Q1194236,Q1047918
Q1194236,Q8041531
Q1194236,Q3088476
Q1194236,Q3570300
Q1194236,Q938034
Q1194236,Q2295246
Q1194236,Q2109149
Q2064366,Q128452
Q1961349,
Q1051158,Q128452
Q3677413,Q128452
Q2419540,
Q60002,Q128452
Q60002,Q2603976
Q60002,Q2734743
Q60002,Q609250
Q60002,Q938034
Q857921,Q128452
Q857921,Q2211423
Q857921,Q8041529
Q857921,Q938034
Q2452573,Q128452
Q2452573,Q1047918
Q2452573,Q938034
Q2452573,Q2295246
Q2452573,Q2211423
Q2658347,Q578371
Q2658347,Q1764367
Q2658347,Q514974
Q2658347,Q2211423
Q929620,
Q767790,Q128452
Q767790,Q1047918
Q767790,Q938034
Q767790,Q3088476
Q767790,Q911971
Q767790,Q7911780
Q767790,Q2295246
Q2723286,Q2603976
Q2723286,Q927511
Q2723286,Q514974
Q2723286,Q1764367
Q2204855,Q128452
Q2204855,Q8041445
Q2584217,Q128452
Q2584217,Q2603976
Q2584217,Q8041425
Q1631090,Q482421
Q1631090,Q128452
Q1631090,Q322646
Q1631090,Q938034
Q1631090,Q911971
Q1631090,Q609250
Q1631090,Q3236029
Q1631090,Q6484316
Q1631090,Q24807439
Q1631090,Q3485603
Q1631090,Q2527918
Q1631090,Q2053320
Q1631090,Q2457162
Q1631090,Q600790
Q2526966,Q37230
Q2526966,Q911971
Q512578,
Q59644,Q938034
Q59644,Q3570300
Q59644,Q3485603
Q59644,Q7883613
Q59644,Q128452
