crea_id,crea_nombre,crea_desc,crea_idioma,crea_wiki
Q357776,Jim Lee,historietista y editor estadounidense nacido en Corea del Sur,es,Jim Lee
Q1083319,Christina Weir,American comics writer,en,
Q631369,Chris Claremont,Guionista de cómic británico,es,Chris Claremont
Q311607,Jack Kirby,"dibujante, escritor y editor de cómics estadounidense",es,Jack Kirby
Q5181136,Craig Kyle,escritor estadounidense,es,
Q8002986,Will Murray,writer,en,
Q1476318,Jim Shooter,American comic book writer and publisher,en,Jim Shooter
Q685944,Marc Silvestri,historietista estadounidense,es,Marc Silvestri
Q1994601,Fabian Nicieza,escritor argentino-estadounidense,es,Fabian Nicieza
Q8048692,Yanick Paquette,historietista canadiense,es,
Q1723117,Al Milgrom,escritor estadounidense,es,
Q51057,Len Wein,historietista y editor estadounidense,es,Len Wein
Q3014803,Daniel Way,American comic book writer,en,
Q1378817,Joe Madureira,historietista estadounidense,es,Joe Madureira
Q737778,Ed Brubaker,guionista estadounidense,es,Ed Brubaker
Q2073344,Pete Woods,historietista estadounidense,es,
Q981976,Roy Thomas,American comic book writer and editor,en,Roy Thomas
Q569239,Herb Trimpe,historietista estadounidense,es,Herb Trimpe
Q705364,Art Adams,historietista estadounidense,es,Art Adams
Q183352,Chris Bachalo,historietista canadiense,es,Chris Bachalo
Q2005172,Nunzio DeFilippis,guionista estadounidense,es,
Q7839189,Trevor Hairsine,British comic artist,en,
Q1484216,John Romita Sr.,historietista estadounidense,es,John Romita Sr.
Q2570,"John Romita, Jr.",historietista estadounidense,es,"John Romita, Jr."
Q1927569,Michael Golden,Historietista,es,
Q585741,Salvador Larroca,historietista español,es,Salvador Larroca
Q469794,Louise Simonson,editora y autora de cómics estadounidense,es,Louise Simonson
Q1372513,Jeph Loeb,"escritor, productor y guionista de cómics de cine y televisión estadounidense",es,Jeph Loeb
Q16875226,Michael Ryan,historietista estadounidense,es,
Q1837116,Bill Everett,historietista estadounidense,es,Bill Everett
Q2061622,Paul Pelletier,Comic artist,en,
Q703897,Tom DeFalco,American comics writer and editor,en,
Q2061990,Rob Liefeld,Historietista y editor de cómic estadounidense,es,Rob Liefeld
Q4795018,Arnold Drake,American comic book writer and screenwriter,en,
Q1341343,Neal Adams,artista de cómic y comercial estadounidense,es,Neal Adams
Q358764,Peter Milligan,guionista británico,es,Peter Milligan
Q526461,Andy Kubert,historietista estadounidense,es,
Q7983490,Werner Roth,American comic artist (1921-1973),en,
Q286371,John Cassaday,historietista estadounidense,es,
Q6846365,Mike Collins,Comic artist,en,
Q3849448,Mark Brooks,historietista estadounidense,es,
Q6394259,Keron Grant,artist,en,
Q298025,Joss Whedon,"American director, writer, and producer",en,Joss Whedon
Q390257,Bob McLeod,historietista estadounidense,es,
Q743003,Ethan Van Sciver,American comic book artist,en,Ethan Van Sciver
Q1340698,Scott Lobdell,American comic writer,en,
Q1797964,Marc Guggenheim,writer,en,
Q359610,Ed Hannigan,Comic creator,en,
Q355652,Steve Ditko,dibujante de cómics estadounidense,es,Steve Ditko
Q2850412,Ann Nocenti,"periodista, escritora y editora estadounidense",es,Ann Nocenti
Q7358053,Roger Cruz,historietista brasileño,es,
Q2323986,Bill Mantlo,"historietista, guionista y abogado estadounidense",es,Bill Mantlo
Q732218,Carlos Pacheco,historietista español,es,Carlos Pacheco
Q723788,Sal Buscema,historietista estadounidense,es,Sal Buscema
Q207676,Frank Miller,"artista, escritor y guionista estadounidense",es,Frank Miller
Q3086857,Whilce Portacio,Comic artist,en,
Q2636001,Paul Smith,historietista estadounidense,es,
Q475618,John Byrne,author and artist of comic books,en,John Byrne
Q862461,Bill Sienkiewicz,historietista estadounidense,es,Bill Sienkiewicz
Q5113482,Christopher Yost,American comics and screenwriter,en,
Q7613130,Steve Leialoha,historietista estadounidense,es,
Q1689882,Jo Duffy,autora estadounidense,es,
Q943047,Grant Morrison,escritor y guinista de historietas escocés,es,Grant Morrison
Q1364628,Alex Toth,historietista estadounidense,es,Alex Toth
Q721268,Roger Stern,escritor estadounidense,es,Roger Stern
Q902536,Dave Cockrum,historietista estadounidense,es,Dave Cockrum
Q2706303,Jim Steranko,artista estadounidense,es,Jim Steranko
Q2548090,Don Heck,historietista estadounidense,es,
Q181900,Stan Lee,escritor de cómics estadounidense (1922-2018),es,Stan Lee
Q3498909,Steve Dillon,Dibujante de historietas británico,es,Steve Dillon
